date,current_capital,unclaimed_fees,projected_fees,reinvest_cost,p_value,day_projection
2022-04-10,1000000.0,1799.9005360026108,0.16177152707805803,107.1976539168397,0.02,7
2022-04-11,1000000.0,1887.5960597301514,0.17024802326367922,103.56549617245726,0.02,7
2022-04-12,1000000.0,2147.1257693786583,0.19450777000444341,106.8694436154547,0.02,7
2022-04-13,1000000.0,2225.6324569008048,0.20145024805894696,111.16159533755646,0.02,7
2022-04-14,1000000.0,2268.387222573157,0.20617659706082087,112.89454162244532,0.02,7
2022-04-15,1000000.0,2295.1278933213184,0.20927436484882372,91.82816746313212,0.02,7
2022-04-16,1000000.0,2304.1487008750155,0.21021638206254942,82.65283346480342,0.02,7
2022-04-17,1000000.0,2319.917915369334,0.19409862619334928,68.8675971836302,0.02,7
2022-04-18,1000000.0,2486.8095707457783,0.20256846806981413,86.15579643167314,0.02,7
2022-04-19,1000000.0,2586.831355303953,0.21154865671676185,96.45630282221558,0.02,7
2022-04-20,1000000.0,2652.659508784246,0.21787757399773428,154.82959240000744,0.02,7
2022-04-21,1000000.0,2674.188502192341,0.22046387045343604,135.9272153987117,0.02,7
2022-04-22,1000000.0,2720.846508424279,0.2235703335819382,126.76999967708319,0.02,7
2022-04-23,1000000.0,2736.0178960960825,0.22550059180519952,73.76811142800936,0.02,7
2022-04-24,1000000.0,2760.8883837294607,0.2221467703713847,73.5164147814306,0.02,7
2022-04-25,1000000.0,2992.940082169046,0.24113096832869851,121.64743410815467,0.02,7
2022-04-26,1000000.0,3070.986569675339,0.2475797296656827,99.69006744203185,0.02,7
2022-04-27,1000000.0,3162.416231633219,0.2559244767124291,116.60938478713575,0.02,7
2022-04-28,1000000.0,3190.7377579659637,0.25923052458972257,117.47082682313251,0.02,7
2022-04-29,1000000.0,3239.975992265776,0.26380742146131286,107.84909428468285,0.02,7
2022-04-30,1000000.0,3263.183522808329,0.2665055291044322,100.29155136055077,0.02,7
2022-05-01,1000000.0,3368.4594961522243,0.2750431271071007,938.4017014062244,0.02,7
2022-05-02,1000000.0,3430.333863060974,0.2811788524871239,144.0569939233672,0.02,7
2022-05-03,1000000.0,3497.3905918563833,0.28761575026582825,124.8253250317773,0.02,7
2022-05-04,1000000.0,3577.9891294051076,0.2952307557395227,109.27035617597174,0.02,7
