date,tvlUSD,volumeUSD,feesUSD,pool_id,pool_name
2021-07-02,1580274.7723122889,73914.347111,36.9571735555,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-03,1580391.2628581282,194776.322582,97.388161291,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-04,1043461.9358415216,369144.465639,184.5722328195,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-05,1043471.1686858305,75981.410582,37.990705291,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-06,1043506.8506613431,120052.150678,60.026075339,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-07,547568.6146253297,308441.75006,154.22087503,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-08,52460.09456,568010.483003,284.0052415015,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-09,547973.6138039946,97454.69963,48.727349815,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-10,548049.1510145859,65927.853084,32.963926542,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-11,548027.5232478278,42616.780558,21.308390279,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-12,548480.6738593762,675109.768765,337.5548843825,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-13,69990.882716,276712.064518,138.356032259,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-14,470355.5806026675,357505.019699,178.7525098495,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-15,470654.61895326,347279.136442,173.639568221,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-16,470573.1973133568,116282.298175,58.1411490875,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-17,470539.65893778944,39570.552138,19.785276069,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
2021-07-18,470542.83877192234,80940.950391,40.4704751955,0x00cef0386ed94d738c8f8a74e8bfd0376926d24c,BUSD_USDC_05
